object_type,entry_time,exit_time,zone_of_entrance,zone_of_exit,camera_id
male,06.09.2025 18:21:41,06.09.2025 18:26:57,Entrance 1,Entrance 1,1
female,06.09.2025 18:22:23,06.09.2025 18:27:28,Entrance 1,Entrance 1,1
female,06.09.2025 18:23:42,06.09.2025 18:27:39,None,Entrance 1,1
male,06.09.2025 18:23:40,06.09.2025 18:27:53,Entrance 1,Entrance 1,1
male,06.09.2025 18:22:42,06.09.2025 18:28:01,Entrance 1,Entrance 1,1
male,06.09.2025 18:20:47,06.09.2025 18:28:04,Entrance 1,None,2
female,06.09.2025 18:22:09,06.09.2025 18:28:10,Entrance 1,Entrance 1,1
female,06.09.2025 18:23:45,06.09.2025 18:28:12,Entrance 1,Entrance 1,1
female,06.09.2025 18:18:54,06.09.2025 18:28:23,Entrance 2,Entrance 2,1
female,06.09.2025 18:23:03,06.09.2025 18:28:32,Entrance 1,Entrance 1,2
male,06.09.2025 18:22:09,06.09.2025 18:29:15,Entrance 1,Entrance 1,2
female,06.09.2025 18:25:17,06.09.2025 18:29:41,Entrance 1,Entrance 1,1
male,06.09.2025 18:22:16,06.09.2025 18:30:07,Entrance 2,Entrance 2,1
female,06.09.2025 18:24:18,06.09.2025 18:30:08,Entrance 1,Entrance 1,1
female,06.09.2025 18:27:33,06.09.2025 18:30:33,Entrance 1,Entrance 1,1
male,06.09.2025 18:21:54,06.09.2025 18:30:36,Entrance 1,Entrance 1,2
male,06.09.2025 18:20:50,06.09.2025 18:30:43,Entrance 2,Entrance 2,1
female,06.09.2025 18:23:40,06.09.2025 18:30:51,Entrance 2,Entrance 1,1
male,06.09.2025 18:22:48,06.09.2025 18:30:58,Entrance 1,Entrance 1,1
female,06.09.2025 18:22:24,06.09.2025 18:31:20,Entrance 2,Entrance 1,1
male,06.09.2025 18:21:41,06.09.2025 18:31:41,Entrance 2,Entrance 2,1
female,06.09.2025 18:24:17,06.09.2025 18:31:41,Entrance 1,Entrance 1,2
male,06.09.2025 18:22:03,06.09.2025 18:31:44,Entrance 1,Entrance 1,2
male,06.09.2025 18:22:30,06.09.2025 18:31:47,Entrance 2,Entrance 1,1
female,06.09.2025 18:27:27,06.09.2025 18:32:55,Entrance 1,Entrance 2,1
male,06.09.2025 18:26:49,06.09.2025 18:33:13,Entrance 1,Entrance 1,1
male,06.09.2025 18:23:57,06.09.2025 18:33:57,Entrance 2,Entrance 1,1
male,06.09.2025 18:30:01,06.09.2025 18:34:12,Entrance 1,Entrance 1,2
female,06.09.2025 18:28:01,06.09.2025 18:34:16,Entrance 1,None,1
female,06.09.2025 18:27:14,06.09.2025 18:34:30,Entrance 2,Entrance 2,1
female,06.09.2025 18:29:48,06.09.2025 18:34:54,Entrance 1,Entrance 1,1
female,06.09.2025 18:27:18,06.09.2025 18:35:01,Entrance 1,Entrance 1,2
male,06.09.2025 18:29:44,06.09.2025 18:35:18,Entrance 2,Entrance 1,1
female,06.09.2025 18:31:57,06.09.2025 18:35:42,Entrance 1,Entrance 2,1
male,06.09.2025 18:32:55,06.09.2025 18:35:55,Entrance 1,Entrance 1,1
female,06.09.2025 18:30:23,06.09.2025 18:36:01,Entrance 1,Entrance 1,2
male,06.09.2025 18:32:44,06.09.2025 18:36:07,Entrance 1,None,1
male,06.09.2025 18:33:20,06.09.2025 18:37:48,Entrance 2,Entrance 1,1
male,06.09.2025 18:33:56,06.09.2025 18:38:01,None,None,2
female,06.09.2025 18:28:55,06.09.2025 18:38:36,Entrance 1,Entrance 1,1
male,06.09.2025 18:33:00,06.09.2025 18:38:58,Entrance 1,Entrance 1,2
female,06.09.2025 18:33:27,06.09.2025 18:39:38,Entrance 2,Entrance 2,1
male,06.09.2025 18:36:17,06.09.2025 18:39:56,Entrance 1,Entrance 2,1
male,06.09.2025 18:33:39,06.09.2025 18:40:01,Entrance 1,Entrance 1,1
male,06.09.2025 18:35:16,06.09.2025 18:40:04,Entrance 1,Entrance 1,2
female,06.09.2025 18:37:37,06.09.2025 18:40:37,None,Entrance 1,2
male,06.09.2025 18:35:52,06.09.2025 18:40:45,Entrance 2,Entrance 2,1
female,06.09.2025 18:37:56,06.09.2025 18:40:56,Entrance 1,Entrance 2,1
female,06.09.2025 18:37:23,06.09.2025 18:41:26,Entrance 1,Entrance 1,2
male,06.09.2025 18:34:43,06.09.2025 18:41:48,Entrance 1,Entrance 2,1
male,06.09.2025 18:38:52,06.09.2025 18:42:36,Entrance 2,Entrance 1,1
female,06.09.2025 18:38:37,06.09.2025 18:43:01,Entrance 1,Entrance 1,1
female,06.09.2025 18:37:53,06.09.2025 18:43:55,Entrance 1,Entrance 1,2
male,06.09.2025 18:38:34,06.09.2025 18:44:15,Entrance 2,Entrance 2,1
male,06.09.2025 18:40:51,06.09.2025 18:44:38,Entrance 1,None,1
female,06.09.2025 18:36:53,06.09.2025 18:44:40,Entrance 1,Entrance 1,1
male,06.09.2025 18:41:53,06.09.2025 18:44:53,None,Entrance 1,2
male,06.09.2025 18:36:04,06.09.2025 18:44:54,Entrance 1,Entrance 1,2
female,06.09.2025 18:39:04,06.09.2025 18:45:47,Entrance 2,Entrance 2,1
male,06.09.2025 18:40:05,06.09.2025 18:46:19,Entrance 1,Entrance 1,1
male,06.09.2025 18:41:45,06.09.2025 18:46:25,Entrance 1,Entrance 1,2
female,06.09.2025 18:41:26,06.09.2025 18:46:37,Entrance 1,Entrance 1,2
car,06.09.2025 17:23:42,06.09.2025 18:46:38,None,None,1
male,06.09.2025 18:40:36,06.09.2025 18:46:50,Entrance 2,Entrance 1,1
male,06.09.2025 18:44:20,06.09.2025 18:47:20,Entrance 1,Entrance 1,1
male,06.09.2025 18:42:01,06.09.2025 18:47:32,Entrance 1,Entrance 1,1
female,06.09.2025 18:42:04,06.09.2025 18:47:43,Entrance 1,None,2
male,06.09.2025 18:46:38,06.09.2025 18:49:38,None,Entrance 1,1
male,06.09.2025 18:46:57,06.09.2025 18:49:57,Entrance 1,Entrance 1,1
car,06.09.2025 16:10:32,06.09.2025 18:50:09,None,None,1
male,06.09.2025 18:43:10,06.09.2025 18:50:28,Entrance 1,Entrance 1,1
car,06.09.2025 16:15:26,06.09.2025 18:51:14,None,None,2
female,06.09.2025 18:41:56,06.09.2025 18:51:56,Entrance 1,Entrance 1,2
male,06.09.2025 18:46:57,06.09.2025 18:51:57,Entrance 1,Entrance 1,2
male,06.09.2025 18:46:45,06.09.2025 18:52:08,Entrance 1,Entrance 1,1
female,06.09.2025 18:47:26,06.09.2025 18:52:16,Entrance 1,Entrance 1,1
male,06.09.2025 18:49:55,06.09.2025 18:52:55,Entrance 1,Entrance 2,1
female,06.09.2025 18:47:25,06.09.2025 18:53:25,Entrance 1,Entrance 1,2
female,06.09.2025 18:49:26,06.09.2025 18:54:41,Entrance 1,Entrance 1,2
male,06.09.2025 18:51:09,06.09.2025 18:55:03,Entrance 1,Entrance 2,1
male,06.09.2025 18:45:07,06.09.2025 18:55:07,Entrance 1,Entrance 1,2
female,06.09.2025 18:50:14,06.09.2025 18:55:47,Entrance 2,Entrance 2,1
male,06.09.2025 18:51:19,06.09.2025 18:55:52,Entrance 1,Entrance 1,2
male,06.09.2025 18:52:13,06.09.2025 18:56:19,Entrance 1,Entrance 2,1
male,06.09.2025 18:51:04,06.09.2025 18:56:22,Entrance 1,Entrance 1,2
male,06.09.2025 18:53:48,06.09.2025 18:57:22,Entrance 1,Entrance 1,1
male,06.09.2025 18:53:49,06.09.2025 18:57:38,Entrance 1,Entrance 1,2
male,06.09.2025 18:52:56,06.09.2025 18:57:53,Entrance 1,Entrance 1,2
male,06.09.2025 18:52:14,06.09.2025 18:57:53,Entrance 2,Entrance 1,1
male,06.09.2025 18:50:11,06.09.2025 18:58:23,Entrance 1,Entrance 1,2
male,06.09.2025 18:53:31,06.09.2025 18:58:42,Entrance 1,Entrance 1,1
male,06.09.2025 18:50:24,06.09.2025 18:59:30,Entrance 1,Entrance 1,2
female,06.09.2025 18:54:17,06.09.2025 18:59:33,Entrance 1,Entrance 1,2
male,06.09.2025 18:55:35,06.09.2025 18:59:54,Entrance 1,Entrance 1,2
male,06.09.2025 18:51:46,06.09.2025 19:00:50,Entrance 1,None,2
male,06.09.2025 18:55:09,06.09.2025 19:00:55,Entrance 2,Entrance 2,1
female,06.09.2025 18:54:19,06.09.2025 19:00:59,Entrance 1,Entrance 1,2
female,06.09.2025 18:54:02,06.09.2025 19:01:07,Entrance 1,Entrance 1,1
male,06.09.2025 18:56:35,06.09.2025 19:01:12,Entrance 1,Entrance 1,1
male,06.09.2025 18:57:40,06.09.2025 19:01:24,Entrance 1,Entrance 1,2
male,06.09.2025 18:54:50,06.09.2025 19:01:36,Entrance 1,Entrance 1,2
male,06.09.2025 18:57:56,06.09.2025 19:01:41,None,None,1
male,06.09.2025 18:58:20,06.09.2025 19:02:00,Entrance 1,None,2
male,06.09.2025 18:59:10,06.09.2025 19:02:16,Entrance 1,Entrance 2,1
male,06.09.2025 18:56:53,06.09.2025 19:02:34,Entrance 1,Entrance 1,2
female,06.09.2025 18:56:09,06.09.2025 19:03:17,Entrance 2,Entrance 1,1
female,06.09.2025 18:59:50,06.09.2025 19:03:23,None,Entrance 1,1
male,06.09.2025 18:57:55,06.09.2025 19:03:37,Entrance 1,Entrance 1,2
female,06.09.2025 18:57:33,06.09.2025 19:03:45,Entrance 1,Entrance 1,1
female,06.09.2025 18:53:50,06.09.2025 19:03:50,Entrance 1,Entrance 1,1
male,06.09.2025 18:56:10,06.09.2025 19:04:16,Entrance 2,None,1
male,06.09.2025 18:56:23,06.09.2025 19:04:24,Entrance 1,Entrance 1,2
female,06.09.2025 19:00:50,06.09.2025 19:04:42,Entrance 1,Entrance 1,2
female,06.09.2025 18:58:23,06.09.2025 19:04:50,Entrance 2,Entrance 2,1
male,06.09.2025 18:56:30,06.09.2025 19:05:51,Entrance 1,Entrance 1,2
female,06.09.2025 18:57:36,06.09.2025 19:06:35,Entrance 1,Entrance 1,2
car,06.09.2025 17:37:21,06.09.2025 19:07:34,None,None,2
female,06.09.2025 18:58:54,06.09.2025 19:08:01,Entrance 2,Entrance 1,1
male,06.09.2025 19:03:56,06.09.2025 19:08:25,Entrance 1,None,2
male,06.09.2025 18:58:50,06.09.2025 19:08:50,Entrance 1,Entrance 1,2
male,06.09.2025 19:03:39,06.09.2025 19:09:39,Entrance 1,Entrance 1,2
male,06.09.2025 19:05:34,06.09.2025 19:11:00,Entrance 1,Entrance 1,2
male,06.09.2025 19:06:47,06.09.2025 19:11:13,Entrance 1,Entrance 1,2
car,06.09.2025 18:49:53,06.09.2025 19:12:09,None,None,1
female,06.09.2025 19:08:08,06.09.2025 19:12:22,Entrance 1,Entrance 1,2
male,06.09.2025 19:07:39,06.09.2025 19:12:38,Entrance 1,Entrance 1,2
female,06.09.2025 19:06:44,06.09.2025 19:13:45,Entrance 1,Entrance 1,2
male,06.09.2025 19:09:10,06.09.2025 19:14:00,Entrance 1,Entrance 1,2
female,06.09.2025 19:09:58,06.09.2025 19:14:35,Entrance 1,Entrance 1,2
car,06.09.2025 18:09:37,06.09.2025 19:15:14,None,None,2
female,06.09.2025 19:09:57,06.09.2025 19:15:43,Entrance 1,Entrance 1,2
car,06.09.2025 17:33:31,06.09.2025 19:15:53,None,None,1
car,06.09.2025 17:03:08,06.09.2025 19:17:37,None,None,1
male,06.09.2025 19:12:08,06.09.2025 19:17:45,Entrance 1,Entrance 1,2
male,06.09.2025 19:17:53,06.09.2025 19:20:53,None,Entrance 1,2
male,06.09.2025 19:14:34,06.09.2025 19:20:57,Entrance 1,Entrance 1,2
male,06.09.2025 19:14:24,06.09.2025 19:21:10,Entrance 1,Entrance 1,2
male,06.09.2025 19:16:11,06.09.2025 19:23:08,Entrance 1,Entrance 1,2
female,06.09.2025 19:18:16,06.09.2025 19:23:36,Entrance 1,Entrance 1,1
male,06.09.2025 19:16:06,06.09.2025 19:23:37,Entrance 1,Entrance 1,2
male,06.09.2025 19:18:54,06.09.2025 19:24:09,Entrance 1,Entrance 2,1
female,06.09.2025 19:14:36,06.09.2025 19:24:36,Entrance 1,Entrance 1,2
male,06.09.2025 19:20:09,06.09.2025 19:24:56,Entrance 1,Entrance 1,1
male,06.09.2025 19:19:11,06.09.2025 19:25:27,Entrance 1,Entrance 1,2
male,06.09.2025 19:16:50,06.09.2025 19:25:30,Entrance 1,None,2
male,06.09.2025 19:19:41,06.09.2025 19:25:36,Entrance 1,Entrance 2,1
male,06.09.2025 19:22:09,06.09.2025 19:26:16,Entrance 1,Entrance 1,1
male,06.09.2025 19:22:35,06.09.2025 19:26:29,Entrance 1,Entrance 1,1
male,06.09.2025 19:22:33,06.09.2025 19:26:59,Entrance 1,Entrance 1,2
female,06.09.2025 19:23:19,06.09.2025 19:27:42,Entrance 1,Entrance 1,2
male,06.09.2025 19:22:13,06.09.2025 19:27:50,Entrance 1,Entrance 1,1
female,06.09.2025 19:23:54,06.09.2025 19:27:55,Entrance 2,Entrance 1,1
female,06.09.2025 19:21:50,06.09.2025 19:28:01,Entrance 1,Entrance 1,1
female,06.09.2025 19:18:34,06.09.2025 19:28:34,Entrance 2,Entrance 2,1
male,06.09.2025 19:20:30,06.09.2025 19:29:12,Entrance 2,None,1
female,06.09.2025 19:23:46,06.09.2025 19:29:20,Entrance 1,Entrance 1,2
male,06.09.2025 19:23:20,06.09.2025 19:29:50,Entrance 1,None,1
male,06.09.2025 19:23:15,06.09.2025 19:30:05,Entrance 1,None,1
female,06.09.2025 19:20:07,06.09.2025 19:30:07,Entrance 2,Entrance 2,1
male,06.09.2025 19:22:31,06.09.2025 19:30:43,Entrance 2,Entrance 2,1
male,06.09.2025 19:26:12,06.09.2025 19:30:45,Entrance 1,Entrance 1,1
female,06.09.2025 19:24:25,06.09.2025 19:31:10,Entrance 1,Entrance 2,1
female,06.09.2025 19:26:30,06.09.2025 19:32:02,Entrance 1,Entrance 1,2
male,06.09.2025 19:22:04,06.09.2025 19:32:04,Entrance 2,Entrance 2,1
female,06.09.2025 19:28:05,06.09.2025 19:32:07,Entrance 1,Entrance 2,1
male,06.09.2025 19:27:32,06.09.2025 19:32:20,Entrance 1,Entrance 2,1
female,06.09.2025 19:24:43,06.09.2025 19:32:25,Entrance 1,Entrance 1,2
male,06.09.2025 19:23:56,06.09.2025 19:32:42,Entrance 2,Entrance 1,1
female,06.09.2025 19:27:07,06.09.2025 19:32:49,Entrance 2,Entrance 1,1
male,06.09.2025 19:23:02,06.09.2025 19:33:02,Entrance 2,Entrance 2,1
female,06.09.2025 19:29:40,06.09.2025 19:33:17,Entrance 1,Entrance 1,1
female,06.09.2025 19:27:40,06.09.2025 19:33:22,Entrance 1,Entrance 1,1
female,06.09.2025 19:23:26,06.09.2025 19:33:26,Entrance 2,Entrance 2,1
car,06.09.2025 18:18:04,06.09.2025 19:33:41,None,None,2
male,06.09.2025 19:29:28,06.09.2025 19:33:43,Entrance 1,Entrance 2,1
male,06.09.2025 19:28:42,06.09.2025 19:33:52,Entrance 1,Entrance 2,1
male,06.09.2025 19:23:56,06.09.2025 19:33:56,Entrance 2,Entrance 1,1
female,06.09.2025 19:29:00,06.09.2025 19:34:05,Entrance 2,Entrance 1,1
male,06.09.2025 19:29:36,06.09.2025 19:34:14,Entrance 1,Entrance 1,1
car,06.09.2025 17:38:14,06.09.2025 19:34:19,None,None,1
male,06.09.2025 19:24:56,06.09.2025 19:34:56,Entrance 2,Entrance 1,1
male,06.09.2025 19:29:25,06.09.2025 19:35:12,Entrance 1,Entrance 1,2
female,06.09.2025 19:31:12,06.09.2025 19:35:33,Entrance 1,Entrance 1,1
male,06.09.2025 19:31:18,06.09.2025 19:35:47,Entrance 1,Entrance 1,2
male,06.09.2025 19:28:31,06.09.2025 19:36:36,Entrance 2,Entrance 2,1
female,06.09.2025 19:31:32,06.09.2025 19:36:48,Entrance 1,Entrance 1,2
female,06.09.2025 19:26:53,06.09.2025 19:36:53,Entrance 2,None,1
male,06.09.2025 19:31:27,06.09.2025 19:37:12,Entrance 2,Entrance 1,1
male,06.09.2025 19:31:58,06.09.2025 19:37:15,None,Entrance 1,1
male,06.09.2025 19:32:29,06.09.2025 19:37:15,Entrance 1,Entrance 1,2
female,06.09.2025 19:32:30,06.09.2025 19:37:16,Entrance 1,None,2
female,06.09.2025 19:31:17,06.09.2025 19:37:47,Entrance 2,Entrance 2,1
female,06.09.2025 19:32:14,06.09.2025 19:38:01,Entrance 1,Entrance 1,2
female,06.09.2025 19:33:08,06.09.2025 19:38:03,Entrance 1,Entrance 2,1
male,06.09.2025 19:34:20,06.09.2025 19:38:08,Entrance 1,Entrance 2,1
female,06.09.2025 19:35:24,06.09.2025 19:38:24,None,Entrance 1,2
male,06.09.2025 19:35:24,06.09.2025 19:38:50,Entrance 1,None,1
male,06.09.2025 19:33:58,06.09.2025 19:38:56,Entrance 1,Entrance 1,1
female,06.09.2025 19:31:42,06.09.2025 19:38:59,Entrance 2,Entrance 1,1
female,06.09.2025 19:33:45,06.09.2025 19:39:05,None,Entrance 2,1
male,06.09.2025 19:29:12,06.09.2025 19:39:12,Entrance 2,Entrance 1,1
male,06.09.2025 19:36:18,06.09.2025 19:39:18,Entrance 1,Entrance 1,1
male,06.09.2025 19:33:15,06.09.2025 19:39:21,Entrance 1,Entrance 1,2
male,06.09.2025 19:33:04,06.09.2025 19:39:22,Entrance 1,Entrance 1,1
female,06.09.2025 19:33:13,06.09.2025 19:39:30,Entrance 2,Entrance 2,1
male,06.09.2025 19:36:09,06.09.2025 19:39:42,Entrance 1,Entrance 1,1
male,06.09.2025 19:36:49,06.09.2025 19:39:52,Entrance 1,Entrance 2,1
female,06.09.2025 19:30:51,06.09.2025 19:40:05,Entrance 2,Entrance 1,1
male,06.09.2025 19:36:15,06.09.2025 19:40:09,Entrance 1,Entrance 2,1
male,06.09.2025 19:35:36,06.09.2025 19:40:11,Entrance 1,Entrance 1,2
female,06.09.2025 19:35:03,06.09.2025 19:40:22,Entrance 1,Entrance 2,1
male,06.09.2025 19:35:31,06.09.2025 19:40:28,Entrance 1,Entrance 2,1
car,06.09.2025 17:50:41,06.09.2025 19:40:41,None,None,1
male,06.09.2025 19:31:43,06.09.2025 19:40:55,Entrance 1,Entrance 1,2
female,06.09.2025 19:36:10,06.09.2025 19:41:00,Entrance 2,Entrance 2,1
male,06.09.2025 19:37:32,06.09.2025 19:41:50,Entrance 1,Entrance 2,1
car,06.09.2025 18:29:25,06.09.2025 19:42:44,None,None,2
male,06.09.2025 19:36:28,06.09.2025 19:43:23,Entrance 1,None,2
male,06.09.2025 19:38:34,06.09.2025 19:43:37,Entrance 1,Entrance 2,1
male,06.09.2025 19:40:13,06.09.2025 19:44:10,Entrance 1,Entrance 1,1
male,06.09.2025 19:34:44,06.09.2025 19:44:33,Entrance 2,Entrance 2,1
male,06.09.2025 19:41:56,06.09.2025 19:44:56,Entrance 1,Entrance 1,1
male,06.09.2025 19:41:24,06.09.2025 19:45:08,Entrance 1,Entrance 1,1
male,06.09.2025 19:35:53,06.09.2025 19:45:53,Entrance 2,Entrance 1,1
male,06.09.2025 19:40:52,06.09.2025 19:46:02,Entrance 2,Entrance 1,1
female,06.09.2025 19:42:40,06.09.2025 19:46:36,Entrance 1,None,2
male,06.09.2025 19:42:46,06.09.2025 19:46:46,Entrance 1,Entrance 2,1
male,06.09.2025 19:43:23,06.09.2025 19:46:56,Entrance 1,Entrance 1,2
male,06.09.2025 19:43:16,06.09.2025 19:47:24,Entrance 1,Entrance 1,2
male,06.09.2025 19:37:40,06.09.2025 19:47:40,Entrance 2,Entrance 1,1
male,06.09.2025 19:42:02,06.09.2025 19:48:00,Entrance 2,Entrance 1,1
female,06.09.2025 19:41:31,06.09.2025 19:48:12,Entrance 2,Entrance 1,1
male,06.09.2025 19:42:09,06.09.2025 19:48:20,Entrance 1,Entrance 2,1
female,06.09.2025 19:42:15,06.09.2025 19:48:34,Entrance 2,Entrance 2,1
male,06.09.2025 19:45:43,06.09.2025 19:48:54,Entrance 1,Entrance 1,2
female,06.09.2025 19:43:17,06.09.2025 19:49:03,Entrance 1,Entrance 1,2
female,06.09.2025 19:39:53,06.09.2025 19:49:04,Entrance 1,Entrance 1,2
male,06.09.2025 19:44:38,06.09.2025 19:49:07,Entrance 1,Entrance 2,1
male,06.09.2025 19:46:23,06.09.2025 19:49:23,Entrance 1,Entrance 1,2
car,06.09.2025 17:59:34,06.09.2025 19:49:33,None,None,1
female,06.09.2025 19:46:34,06.09.2025 19:49:34,None,Entrance 1,2
female,06.09.2025 19:40:49,06.09.2025 19:49:35,Entrance 1,None,1
male,06.09.2025 19:45:40,06.09.2025 19:49:39,Entrance 1,Entrance 2,1
female,06.09.2025 19:40:31,06.09.2025 19:49:42,Entrance 2,Entrance 1,1
male,06.09.2025 19:42:51,06.09.2025 19:50:05,Entrance 1,Entrance 1,1
male,06.09.2025 19:40:21,06.09.2025 19:50:07,Entrance 2,Entrance 1,1
male,06.09.2025 19:46:11,06.09.2025 19:50:16,Entrance 1,Entrance 2,1
male,06.09.2025 19:40:17,06.09.2025 19:50:17,Entrance 1,Entrance 1,2
male,06.09.2025 19:43:43,06.09.2025 19:50:44,Entrance 1,Entrance 1,2
male,06.09.2025 19:43:44,06.09.2025 19:50:47,Entrance 1,Entrance 1,2
male,06.09.2025 19:46:37,06.09.2025 19:50:54,Entrance 1,Entrance 1,2
female,06.09.2025 19:47:50,06.09.2025 19:51:08,Entrance 1,Entrance 1,1
male,06.09.2025 19:47:48,06.09.2025 19:51:14,Entrance 1,Entrance 1,1
male,06.09.2025 19:44:29,06.09.2025 19:51:21,Entrance 1,Entrance 1,1
car,06.09.2025 18:35:23,06.09.2025 19:51:25,None,None,1
male,06.09.2025 19:47:01,06.09.2025 19:51:34,Entrance 1,Entrance 2,1
male,06.09.2025 19:45:44,06.09.2025 19:51:34,Entrance 2,Entrance 2,1
male,06.09.2025 19:47:42,06.09.2025 19:51:47,Entrance 1,None,1
male,06.09.2025 19:42:03,06.09.2025 19:52:03,Entrance 1,Entrance 1,2
male,06.09.2025 19:42:05,06.09.2025 19:52:05,Entrance 1,Entrance 1,2
female,06.09.2025 19:47:54,06.09.2025 19:52:17,Entrance 1,Entrance 2,1
male,06.09.2025 19:46:45,06.09.2025 19:52:46,Entrance 2,Entrance 2,1
male,06.09.2025 19:43:19,06.09.2025 19:53:03,Entrance 2,Entrance 2,1
female,06.09.2025 19:48:20,06.09.2025 19:53:27,Entrance 1,Entrance 1,1
male,06.09.2025 19:43:37,06.09.2025 19:53:28,None,Entrance 2,1
female,06.09.2025 19:48:15,06.09.2025 19:53:35,Entrance 2,Entrance 1,1
female,06.09.2025 19:50:48,06.09.2025 19:54:05,None,Entrance 1,1
male,06.09.2025 19:47:56,06.09.2025 19:54:23,Entrance 2,None,1
male,06.09.2025 19:44:43,06.09.2025 19:54:43,Entrance 2,Entrance 1,1
male,06.09.2025 19:51:36,06.09.2025 19:55:13,Entrance 1,Entrance 1,2
female,06.09.2025 19:49:32,06.09.2025 19:55:28,Entrance 1,Entrance 1,2
male,06.09.2025 19:48:23,06.09.2025 19:56:02,Entrance 1,Entrance 1,2
female,06.09.2025 19:52:07,06.09.2025 19:57:39,Entrance 2,Entrance 2,1
female,06.09.2025 19:54:44,06.09.2025 19:57:52,None,Entrance 1,2
male,06.09.2025 19:50:01,06.09.2025 19:57:57,Entrance 1,Entrance 1,1
male,06.09.2025 19:52:08,06.09.2025 19:58:33,Entrance 1,Entrance 1,1
female,06.09.2025 19:51:36,06.09.2025 19:58:34,Entrance 2,Entrance 1,1
female,06.09.2025 19:49:18,06.09.2025 19:58:51,Entrance 2,Entrance 1,1
female,06.09.2025 19:53:46,06.09.2025 19:59:05,Entrance 2,Entrance 1,1
female,06.09.2025 19:54:15,06.09.2025 19:59:10,Entrance 1,Entrance 2,1
male,06.09.2025 19:51:51,06.09.2025 19:59:31,Entrance 2,Entrance 1,1
male,06.09.2025 19:56:36,06.09.2025 19:59:36,None,Entrance 1,2
male,06.09.2025 19:56:17,06.09.2025 20:01:06,Entrance 2,Entrance 2,1
male,06.09.2025 19:53:53,06.09.2025 20:01:10,Entrance 1,None,2
male,06.09.2025 19:56:47,06.09.2025 20:01:27,None,None,2
male,06.09.2025 19:55:13,06.09.2025 20:01:28,Entrance 2,Entrance 2,1
male,06.09.2025 19:58:27,06.09.2025 20:02:10,Entrance 1,Entrance 1,2
female,06.09.2025 19:55:48,06.09.2025 20:02:11,Entrance 1,Entrance 1,2
car,06.09.2025 19:27:23,06.09.2025 20:02:23,None,None,1
female,06.09.2025 19:56:22,06.09.2025 20:02:26,Entrance 1,None,2
female,06.09.2025 19:54:40,06.09.2025 20:03:13,Entrance 1,None,2
female,06.09.2025 19:59:30,06.09.2025 20:03:17,Entrance 1,None,2
female,06.09.2025 19:54:35,06.09.2025 20:03:42,Entrance 1,None,1
female,06.09.2025 19:55:24,06.09.2025 20:03:53,Entrance 1,Entrance 1,2
male,06.09.2025 19:57:24,06.09.2025 20:04:12,Entrance 1,Entrance 1,1
female,06.09.2025 19:57:15,06.09.2025 20:04:33,Entrance 1,Entrance 1,2
car,06.09.2025 17:46:38,06.09.2025 20:05:11,None,None,1
female,06.09.2025 19:58:46,06.09.2025 20:05:12,Entrance 1,Entrance 1,1
male,06.09.2025 20:01:16,06.09.2025 20:06:55,Entrance 1,Entrance 1,2
male,06.09.2025 20:00:37,06.09.2025 20:07:40,Entrance 1,Entrance 1,2
female,06.09.2025 19:59:47,06.09.2025 20:07:53,Entrance 2,Entrance 2,1
male,06.09.2025 20:00:43,06.09.2025 20:07:56,Entrance 1,Entrance 1,2
male,06.09.2025 19:58:20,06.09.2025 20:08:20,Entrance 2,Entrance 2,1
male,06.09.2025 19:58:39,06.09.2025 20:08:39,Entrance 1,Entrance 2,1
male,06.09.2025 20:01:38,06.09.2025 20:09:09,Entrance 1,Entrance 1,2
male,06.09.2025 20:02:19,06.09.2025 20:09:14,Entrance 1,Entrance 1,2
female,06.09.2025 20:05:40,06.09.2025 20:09:24,Entrance 1,Entrance 1,2
female,06.09.2025 20:02:48,06.09.2025 20:12:04,Entrance 1,Entrance 1,2
female,06.09.2025 20:02:57,06.09.2025 20:12:09,Entrance 1,Entrance 1,2
male,06.09.2025 20:06:40,06.09.2025 20:12:40,None,Entrance 1,2
car,06.09.2025 19:32:14,06.09.2025 20:12:59,None,None,2
male,06.09.2025 20:08:42,06.09.2025 20:13:00,Entrance 1,Entrance 1,2
female,06.09.2025 20:09:19,06.09.2025 20:14:02,Entrance 1,Entrance 1,2
female,06.09.2025 20:05:03,06.09.2025 20:14:17,Entrance 1,Entrance 1,2
male,06.09.2025 20:11:53,06.09.2025 20:14:53,None,Entrance 1,2
male,06.09.2025 20:12:07,06.09.2025 20:15:28,None,Entrance 1,2
male,06.09.2025 20:10:28,06.09.2025 20:15:35,Entrance 1,Entrance 1,2
female,06.09.2025 20:08:32,06.09.2025 20:16:56,Entrance 1,Entrance 1,2
male,06.09.2025 20:10:52,06.09.2025 20:18:28,Entrance 1,None,2
female,06.09.2025 20:15:47,06.09.2025 20:18:57,Entrance 1,Entrance 1,2
male,06.09.2025 20:12:31,06.09.2025 20:18:57,Entrance 1,Entrance 1,2
male,06.09.2025 20:16:22,06.09.2025 20:19:34,Entrance 1,Entrance 1,2
car,06.09.2025 19:22:54,06.09.2025 20:19:50,None,None,1
car,06.09.2025 18:32:58,06.09.2025 20:19:51,None,None,1
female,06.09.2025 20:15:47,06.09.2025 20:20:00,Entrance 1,Entrance 1,2
female,06.09.2025 20:11:33,06.09.2025 20:21:00,Entrance 1,Entrance 1,2
male,06.09.2025 20:18:26,06.09.2025 20:21:26,Entrance 1,Entrance 2,1
